District_Name,Commune,historical_1980,rcp4p5_ESM1M,rcp4p5_GEM1M,rcp4p5_CM5A_LR,rcp4p5_MIROC_ESM,rcp8p5_ESM1M,rcp8p5_GEM1M,rcp8p5_CM5A_LR,rcp8p5_MIROC_ESM
Riau,Kuantan Singingi,555.9196596,555.9196596,555.9196596,605.8903494,555.9196596,555.9196596,555.9196596,620.0009928,555.9196596
Kalimantan Barat,Kubu Raya,3335.098469,3460.977688,3053.682133,3697.31131,3335.098469,3244.289776,3335.098469,3937.955696,3335.098469
Jawa Tengah,Kudus,1371.20447,1371.20447,0,1419.628202,1371.20447,1371.20447,0,1550.422258,1371.20447
Daerah Istimewa Yogyakarta,Kulon Progo,0,0,0,1563.042393,0,1563.042393,0,1563.042393,0
Jawa Barat,Kuningan,0,0,0,0,0,0,0,0,0
Nusa Tenggara Timur,Kupang,68.76152229,1514.114592,0,1514.114592,1514.114592,1514.114592,0,1514.114592,68.76152229
Kalimantan Timur,Kutai Barat,226.3537884,226.3537884,247.6311817,247.6311817,226.3537884,226.3537884,247.6311817,247.6311817,226.3537884
Kalimantan Timur,Kutai Kartanegara,1002.893013,1002.893013,1202.449297,1070.756662,1002.893013,956.0563469,1266.456026,1266.456026,1002.893013
Kalimantan Timur,Kutai Timur,869.9026222,869.9026222,931.7468987,931.7468987,869.9026222,869.9026222,931.7468987,931.7468987,869.9026222
Sumatera Utara,Labuhan Batu,839.6648159,803.4528713,839.6648159,950.808794,877.4211521,950.808794,839.6648159,950.808794,916.2051983
Sumatera Utara,Labuhan Batu Selatan,244.8847961,206.0775146,244.8847961,338.9736023,244.8847961,310.5170593,244.8847961,310.5170593,244.8847961
Sumatera Utara,Labuhan Batu Utara,274.6230125,274.6230125,220.4275017,354.9290199,274.6230125,274.6230125,274.6230125,354.9290199,274.6230125
Sumatera Selatan,Lahat,33.42578888,33.42578888,33.42578888,33.42578888,33.42578888,33.42578888,33.42578888,33.42578888,33.42578888
Kalimantan Tengah,Lamandau,391.7943726,425.5530853,391.7943726,425.5530853,391.7943726,425.5530853,391.7943726,425.5530853,391.7943726
Jawa Timur,Lamongan,3981.185881,3981.185881,3664.127506,4175.561491,3981.185881,4065.013468,3664.127506,4392.708895,3981.185881
Lampung,Lampung Barat,0,0,0,0,0,0,0,0,0
Lampung,Lampung Selatan,182.3514309,182.3514309,182.3514309,245.3514538,182.3514309,182.3514309,182.3514309,284.4195576,182.3514309
Lampung,Lampung Tengah,232.1301422,232.1301422,232.1301422,318.1707592,232.1301422,232.1301422,232.1301422,352.2850647,232.1301422
Lampung,Lampung Timur,2093.91385,2110.752824,2071.670388,2263.790343,2093.91385,2110.752824,2071.670388,2338.724029,2110.752824
Lampung,Lampung Utara,43.70987701,43.70987701,43.70987701,43.70987701,43.70987701,43.70987701,43.70987701,43.70987701,43.70987701
Kalimantan Barat,Landak,1132.906982,1132.906982,1132.906982,1132.906982,1132.906982,1132.906982,1132.906982,1132.906982,1132.906982
Sumatera Utara,Langkat,3030.510302,3198.108459,3030.510302,3390.065619,3030.510302,3323.539404,3124.222115,3323.539404,3030.510302
Papua,Lanny Jaya,0,0,0,0,0,0,0,0,0
Banten,Lebak,775.8538971,1028.146042,775.8538971,1028.146042,775.8538971,1028.146042,775.8538971,1307.450584,775.8538971
Bengkulu,Lebong,0,0,0,0,0,0,0,0,0
Nusa Tenggara Timur,Lembata,260.3202705,260.3202705,0,260.3202705,260.3202705,260.3202705,0,260.3202705,260.3202705
Sumatera Barat,Lima Puluh Kota,344.5377445,344.5377445,344.5377445,375.2198439,344.5377445,344.5377445,344.5377445,375.2198439,344.5377445
